Existing rows: 21 (run_ids: ['r-chunk-0-review-gemini-3.1-pro-preview', 'r-chunk-0-review-grok-4.5', 'r-chunk-0-review-rerun-gemini-3.1-pro-preview', 'r-chunk-0-review-rerun-grok-4.5', 'r-chunk-1-review-gemini-3.1-pro-preview', 'r-chunk-1-review-grok-4.5', 'r-chunk-3-58a2742a-gemini-3.1-pro-preview', 'r-chunk-3-58a2742a-grok-4.5', 'r-chunk-3-grok-retry-1-grok-4.5', 'r-chunk-4-a72ee733-gemini-3.1-pro-preview', 'r-chunk-4-a72ee733-grok-4.5', 'r-phase32-review-gemini-3.1-pro-preview', 'r-phase32-review-grok-4.5'])
Phase 2 rows generated: 5
Phase 3 rows generated: 13
New rows to append: 18
Merged total: 39

--dry-run: not writing. New rows:
  r-phase2-planner | phase-2 | planner | claude-opus-5 | turns=44 | in=88 out=39067 | dur=561116ms | err=False | dec=None
  r-phase2-plan-review-grok | phase-2 | reviewer | grok-4.5 | turns=9 | in=45737 out=21072 | dur=414236ms | err=False | dec=ACCEPT
  r-phase2-plan-review-gemini | phase-2 | reviewer | gemini-3.1-pro-preview | turns=11 | in=478038 out=11733 | dur=131590ms | err=False | dec=ACCEPT
  r-phase2-brief-review-grok | phase-2 | reviewer | grok-4.5 | turns=8 | in=56898 out=13992 | dur=274640ms | err=False | dec=ACCEPT-WITH-NITS
  r-phase2-brief-review-gemini | phase-2 | reviewer | gemini-3.1-pro-preview | turns=21 | in=697367 out=14955 | dur=220344ms | err=False | dec=ACCEPT
  r-phase3-c1-test-author | phase-3 | test-designer | claude-opus-5 | turns=8 | in=16 out=4014 | dur=69082ms | err=False | dec=None
  r-phase3-c1-executor-openai-fail | phase-3 | executor | gpt-5.4-mini | turns=0 | in=0 out=0 | dur=1293ms | err=True | dec=None
  r-phase3-c1-executor | phase-3 | executor | glm-5.2 | turns=6 | in=19447 out=1234 | dur=30185ms | err=False | dec=None
  r-phase3-c1-validator-grok | phase-3 | validator | grok-4.5 | turns=5 | in=17636 out=2428 | dur=49565ms | err=False | dec=ACCEPT
  r-phase3-c1-validator-gemini | phase-3 | validator | gemini-3.1-pro-preview | turns=7 | in=95819 out=2881 | dur=45871ms | err=False | dec=ACCEPT
  r-phase3-c2-test-author | phase-3 | test-designer | claude-opus-5 | turns=10 | in=20 out=5949 | dur=90891ms | err=False | dec=None
  r-phase3-c2-executor | phase-3 | executor | glm-5.2 | turns=9 | in=28425 out=2263 | dur=52793ms | err=False | dec=None
  r-phase3-c2-validator-grok | phase-3 | validator | grok-4.5 | turns=3 | in=29999 out=2251 | dur=45484ms | err=False | dec=ACCEPT
  r-phase3-c2-validator-gemini | phase-3 | validator | gemini-3.1-pro-preview | turns=7 | in=112557 out=4210 | dur=48551ms | err=False | dec=ACCEPT
  r-phase3-c3-test-author | phase-3 | test-designer | claude-opus-5 | turns=20 | in=40 out=7906 | dur=131654ms | err=False | dec=None
  r-phase3-c3-executor | phase-3 | executor | glm-5.2 | turns=8 | in=16760 out=594 | dur=28860ms | err=False | dec=None
  r-phase3-c3-validator-grok | phase-3 | validator | grok-4.5 | turns=4 | in=16462 out=1423 | dur=32070ms | err=False | dec=ACCEPT
  r-phase3-c3-validator-gemini | phase-3 | validator | gemini-3.1-pro-preview | turns=11 | in=164777 out=3475 | dur=58621ms | err=False | dec=ACCEPT
